
IFM.COM - Country	CC	Modal Data		
Serbia: Србија	rs	https://www.ifm.com/web/read_jsoncountries_rs.js		{ "info": [{"company":"ifm electronic gmbh", "address":"Wienerbergstr. 41<br>GebÃ¤ude E<br>1120 Wien<br>Phone +43 / 1 / 617 45 00<br>Fax +43 / 1 / 617 45 00 10","email":"info.hr@ifm.com", "link":"https://www.ifm.com/hr", "flag":"RS"}]}
Singapore: English	sg	https://www.ifm.com/web/read_jsoncountries_sg.js		{ "info": [{"company":"ifm electronic Pte Ltd", "address":"3A International Business Park<br>#06-05 ICON@IBP<br>Singapore 609935<br>Phone +6565628661 <br>Fax +6565628660","email":"sales.sg@ifm.com", "link":"www.ifm.com/sg", "flag":"SGP"}]}
Slovakia: Slovenčina	sk	https://www.ifm.com/web/read_jsoncountries_sk.js		{ "info": [{"company":"ifm electronic spol. s.r.o.", "address":"Rybnicna 40<br>831 06 Bratislava<br>Phone +421 / 2 / 44 87 23 29<br>Fax +421 / 2 / 44 64 60 42","email":"info.sk@ifm.com", "link":"www.ifm.com/sk", "flag":"SK"}]}
Slovenia: Slovensco	si	https://www.ifm.com/web/read_jsoncountries_si.js		{ "info": [{"company":"ifm electronic gmbh", "address":"Wienerbergstr. 41<br>GebÃ¤ude E<br>A-1120 Wien<br>Phone +43 / 1 / 617 45 00<br>Fax +43 / 1 / 617 45 00 10","email":"info.si@ifm.com", "link":"https://www.ifm.com/si", "flag":"SLO"}]}
South Africa: English	za	https://www.ifm.com/web/read_jsoncountries_za.js		{ "info": [{"company":"ifm electronic (pty) Ltd", "address":"112 Sovereign Drive,<br>Route 21 Corporate Park<br>Centurion<br>0157<br>Postnet Suite 279<br>Postnet Bag X8<br>Elardus Park<br>0047<br>National 0861 IFM RSA (436 772)<br>International +72 12 450 0400<br>Fax +27 12 450 0412","email":"info.za@ifm.com", "link":"www.ifm.com/za", "flag":"ZA"}]}
Spain: Español	es	https://www.ifm.com/web/read_jsoncountries_es.js		{ "info": [{"company":"ifm electronic s.l.", "address":"Parc Mas Blau<br>Edificio Inbisa<br>c/ Garrotxa 6-8<br>08820 El Prat de Llobregat<br>Phone 0034 93 479 30 80<br>Fax 0034 93 479 30 86","email":"info.es@ifm.com", "link":"www.ifm.com/es", "flag":"E"}]}
Sweden: Svenska	se	https://www.ifm.com/web/read_jsoncountries_se.js		{ "info": [{"company":"ifm electronic ab", "address":"Drakegatan 6<br>41250 GÃ¶teborg<br>Phone vÃ¤xel 031-750 23 00<br>Fax 031-750 23 29","email":"info.se@ifm.com", "link":"www.ifm.com/se", "flag":"S"}]}
Switzerland	ch	https://www.ifm.com/web/read_jsoncountries_ch.js		{ "info": [{"company":"ifm electronic ag", "address":"Altgraben 27<br>4624 HÃ¤rkingen<br>Phone 0800 88 80 33<br>Fax 0800 88 80 39","email":"info.ch@ifm.com", "link":"www.ifm.com/ch", "flag":"CH"}]}
				
Taiwan: 繁體中文	tw	https://www.ifm.com/web/read_jsoncountries_tw.js		Skip: Taiwan - cant find link { "info": [{"company":"", "address":"","email":"", "link":"", "flag":""}]}
Turkey: Türkçe	tr	https://www.ifm.com/web/read_jsoncountries_tr.js		{ "info": [{"company":"ifm electronic Elektrikli ve Elektronik Aletler Ä°th.Ä°hr.Paz.Tic.Ltd.Åžti. ", "address":"Merkez Mah. Nadide Sok. <br>AnÄ±ttepe Sitesi No:28 <br>34381 ÅžiÅŸli / Ä°stanbul<br>Phone +90 / 212 / 210 5080<br>Fax +90 / 212 / 221 7159","email":"info.tr@ifm.com", "link":"www.ifm.com/tr", "flag":"TR"}]}
				
Ukraine: Русский	ua	https://www.ifm.com/web/read_jsoncountries_ua.js		{ "info": [{"company":"ifm electronic", "address":"Mariny Raskovoj 11<br>02002 Kiev<br>Phone +380 44 501 8543<br>Fax +380 44 501 8543","email":"info.ua@ifm.com", "link":"www.ifm.com/ua", "flag":"ukr"}]}
United Arab Emirates: English	ae	https://www.ifm.com/web/read_jsoncountries_ae.js		{ "info": [{"company":"", "address":"<b>Al Itqan Factory Equipment Trading LLC</b><br>PO Box 92924<br>Dubai<br>Phone +971 42673838<br>Fax +971 42672300","email":"aifeqtrd@eim.ae", "link":"www.itqanuae.com", "flag":"VAE"}]}
United Kingdom: English	gb 	https://www.ifm.com/web/read_jsoncountries_gb.js		{ "info": [{"company":"ifm electronic Ltd.", "address":"efector House<br>Kingsway Business Park<br>Oldfield Road<br>Hampton<br>Middlesex TW12 2HD<br>Phone +44 / 20 / 8213 0000<br>Fax +44 / 20 / 8213 0001","email":"enquiry_gb@ifm.com", "link":"www.ifm.com/uk", "flag":"GB"}]}
USA: English	us	https://www.ifm.com/web/read_jsoncountries_us.js		{ "info": [{"company":"ifm efector, inc.", "address":"1100 Atwater Dr.<br>Malvern, PA 19355<br>Phone +1-800-441-8246<br>Fax +1-800-329-0436 ","email":"info.us@ifm.com", "link":"www.ifm.com/us", "flag":"USA"}]}
				
Vietnam: English	vn	https://www.ifm.com/web/read_jsoncountries_vn.js		{ "info": [{"company":"ifm electronic Vietnam Co., Ltd.", "address":"Room 401, 4thÂ Floor,<br>HD Tower,<br>25 Bis Nguyen Thi Minh Khai Street, Â Â Â Â <br>Ben Nghe Ward, District 1<br>700000 Ho Chi Minh City<br>Vietnam<br>Phone +84-28-2253.6715Â  <br>Fax +84-28-2253.6716","email":"sales.vn@ifm.com", "link":"", "flag":"V"}]}
				
				
Trade Partners:				
				
Albania	al	https://www.ifm.com/web/read_jsoncountries_al.js		{ "info": [{"company":"ifm electronic monoprosopi E.P.E.", "address":"Andrea Papandreou Street 29<br>15124 Amaroussio<br>Phone +30 210 61 800 90<br>Fax +30 210 61 994 00","email":"info.gr@ifm.com ", "link":"www.ifm.com/gr", "flag":"AL"}]}
Algeria	dz	https://www.ifm.com/web/read_jsoncountries_dz.js		{ "info": [{"company":"Sarl AMS AlgÃ©rie â€“ Automatismes Motorisation & Services", "address":"Lotissement C, lot nÂ°190 B<br>16000 Draria<br>Phone +213 5 59 43 45 22<br>Phone +213 23 26 41 45<br>Fax +213 21 35 44 21","email":"contact@amsalgerie.com", "link":"www.amsalgerie.com", "flag":"ALG"}]}
Armenia	am	https://www.ifm.com/web/read_jsoncountries_am.js		{ "info": [{"company":"Industrial Components LLC", "address":"28/15, Artsakh Street<br>0041 Yerevan<br>Phone +374 10 450035<br>Fax +374 10 450035","email":"icomponents@bk.ru", "link":"", "flag":"arm"}]}
				
Bangladesh	bd	https://www.ifm.com/web/read_jsoncountries_bd.js		{ "info": [{"company":"Sensotec Automation and Control", "address":"5, New Eskaton Road<br>Ghausnagar, Ramna<br>1000 Dhaka<br>Phone +880 171 154 689 0<br>Fax +880 293 300 93","email":"sensotec@agni.com", "link":"", "flag":"ban"}]}
Belarus	by	https://www.ifm.com/web/read_jsoncountries_by.js		{ "info": [{"company":"ifm electronic", "address":"Ibragimova, 31, k.50<br>office 808<br>105318 Moscow<br>Phone +7 (495) 921-44-14<br>Fax +7 (495) 651-82-97","email":"info.ru@ifm.com ", "link":"www.ifm.com/ru", "flag":"BY"}]}
Bolivia	bo	https://www.ifm.com/web/read_jsoncountries_bo.js		{ "info": [{"company":"BAVARIA SRL", "address":"C. Mario Diaz de medina (26-A), nÂ° 32<br>Zona Calacoto Alto, Urb. Morocollo â€“ Santos Pariamo<br>La Paz<br>Phone +591 2 279 269 1<br>Mobile +591 720 47 442","email":"alvarobaptista@bavaria.bo", "link":"www.bavaria.bo", "flag":"bo"}]}
Bosnia and Herzegovina	ba	https://www.ifm.com/web/read_jsoncountries_ba.js		{ "info": [{"company":"ifm electronic gmbh", "address":"Wienerbergstr. 41<br>GebÃ¤ude E<br>1120 Wien<br>Phone +43 / 1 / 617 45 00<br>Fax +43 / 1 / 617 45 00 10","email":"info.hr@ifm.com", "link":"https://www.ifm.com/hr", "flag":"BIH"}]}
				
Cameroon	cm	https://www.ifm.com/web/read_jsoncountries_cm.js		{ "info": [{"company":"", "address":"<b>SOFIPAC</b><br>Bonapriso suite Ã  la Rue des Palmiers<br>3724 Douala<br>Phone +237 96911865","email":"info@sofipacsarl.com", "link":"www.sofipacsarl.com", "flag":"Cam"}]}
Costa Rica	co	https://www.ifm.com/web/read_jsoncountries_co.js		{ "info": [{"company":"SENSOMATIC SAS", "address":"Calle 1 F 25a â€“ 50<br>BogotÃ¡ D.C.<br>Phone +57 124 741 74<br>Fax +57 121 367 53","email":"info@sensomatic-ltda.com", "link":"www.sensomatic-ltda.com", "flag":"CO"}]}
Colombia	cr	https://www.ifm.com/web/read_jsoncountries_cr.js		{ "info": [{"company":"Genbus SA", "address":"Santa Rosa, Sto. Domingo, Heredia.<br>Bodegas Del Sol, Bogeda nÂ° 22<br>Phone +506 25 60 39 58<br>Phone +506 22 62 39 27","email":"info@genbuscr.com", "link":"www.genbuscr.com", "flag":"CR"}]}
				
Ecuador	ec	https://www.ifm.com/web/read_jsoncountries_ec.js		{ "info": [{"company":"ECUAINSETEC", "address":"Yugoslavia N34-110 Y Azuay<br>Quito<br>Phone +593 2 2450475","email":"infouio@ecuainsetec.com.ec", "link":"www.ecuainsetec.com.ec", "flag":"EC"}]}
Egypt	eg	https://www.ifm.com/web/read_jsoncountries_eg.js		{ "info": [{"company":"Egyptian Establishment for Electromechanical Supplies Co.", "address":"3155 El Mokattam<br>Alhadba alwosta Second district (main branch)<br><br>27 Elsalam Street<br>Haram Street, Near to Three Pyramids Hotel<br>Giza<br><br>Phone +20 2 27298238<br>Fax +20 2 27298239<br>Mobile +20 1001061791<br>","email":"info@3ESsupplies.com", "link":"www.3ESsupplies.com", "flag":"EG"}]}
El Salvador	sv	https://www.ifm.com/web/read_jsoncountries_sv.js		{ "info": [{"company":"Provinter", "address":"ProlongaciÃ³n Boulevard ConstituciÃ³n,<br>Residencial La Gloria, Block C-3 pje. 2-C<br>N*1 Mejicanos<br>San Salvador<br>Phone +503 25643005","email":"", "link":"www.provintersv.com", "flag":"SV"}]}
Estonia	ee	https://www.ifm.com/web/read_jsoncountries_ee.js		{ "info": [{"company":"Pesmel Estonia Ltd.", "address":"Segu 4<br>76505 Saue<br>Phone +372 674 73 30<br>Fax +372 674 73 31","email":"pesmel@pesmel.ee", "link":"www.pesmel.ee", "flag":"EE"}]}
				
Guatemala	gt	https://www.ifm.com/web/read_jsoncountries_gt.js		{ "info": [{"company":"IASA Ingenieros Civiles ElectromecÃ¡nicos Asociados, SA", "address":"20 Calle 25-55 Zona 12<br>Empresarial El Cortijo 3 of 907<br>99999 Guatemala City<br>Phone +502-23061300","email":"info@iasa.com.gt", "link":"www.iasa.com.gt", "flag":"GT"}]}
				
Honduras	hn	https://www.ifm.com/web/read_jsoncountries_hn.js		{ "info": [{"company":"RyD INDUSTRIAL", "address":"Bo. Paz Barahona<br>14 Y 15 Calle 11 Ave.<br>San Pedro Sula #142<br>Phone +504 5503703<br>Fax +504 5501108","email":"ventas@rydindustrial.com", "link":"www.rydindustrial.com", "flag":"HN"}]}
				
Indonesia	id	https://www.ifm.com/web/read_jsoncountries_id.js		{ "info": [{"company":"PT. Indoserako Sejahtera", "address":"JL. P. Jayakarta 121 No. 59<br>10730 Jakarta Pusat<br>Phone +62 21 6 24 8923<br>Fax +62 21 6 24 8922","email":"iso297@dnet.net.id", "link":"www.indoserako.com", "flag":"IDS"}]}
Iraq	iq	https://www.ifm.com/web/read_jsoncountries_iq.js		{ "info": [{"company":"EIA Elite Co Electrical", "address":"Instrument and Automation<br>P.O.Box 45-0240 <br>Erbil, Kurdistan <br>Iraq <br><br>Talal Katmeh<br>Managing Director<br>Phone +96 475 11790069","email":"talal.katmeh@eiaelite.com", "link":"www.eiaelite.com", "flag":"IQ"}]}
Ivory Coast	ci	https://www.ifm.com/web/read_jsoncountries_ci.js		{ "info": [{"company":"DM Company", "address":"Marcory Hibiscus<br>Rue Boulevard du Gabon, Villa 270<br>1381 Abidjan 13<br>Phone +225 21 28 04 72<br>Fax +225 21 28 04 18","email":"info@dmc-ci.com", "link":"www.dmc-ci.com", "flag":"Ivc"}]}
				
Jordan	jo	https://www.ifm.com/web/read_jsoncountries_jo.js		{ "info": [{"company":"Technical Center For Industrial Services", "address":"Broadcasting Street<br>Building # 48<br>PO Box:<br>110130 Amman<br>11110 Jordan<br>Mohannad Shaâ€™ban<br>Training & Technical Support Engineer<br>Email m.shaban@tec-jo.com<br>Phone +962 6 4739112<br>Mobile +962 79 9490149<br>Fax +962 6 4789611<br><br><b>AI Mashreqan Trading Supplies Co.</b><br>Otbah ben gazwan.<br>Modern Business Building 1st floor<br>Amman<br>Phone +962 65540844<br>Fax +962 65540846","email":"info@mashreqan.com", "link":"www.mashreqan.com", "flag":"JO"}]}
				
Kenya	ke	https://www.ifm.com/web/read_jsoncountries_ke.js		{ "info": [{"company":"Thames Electricals Ltd.", "address":"Sasio Road, off Lunga Road<br>PO Box 10403-00400<br>Nairobi<br>Phone +254 20533276<br>Fax +254 20533883","email":"lnl@africaonline.co.ke", "link":"", "flag":"ke"}]}
				
Latvia	lv	https://www.ifm.com/web/read_jsoncountries_lv.js		{ "info": [{"company":"EK SistÄ“mas SIA", "address":"Katlakalna 4a<br>1073 Riga<br>Phone +371 672 41231<br>Fax +371 672 48478","email":"jurisk@eksistemas.lv", "link":"www.ecsystems.lv", "flag":"LV"}]}
Lebanon	lb	https://www.ifm.com/web/read_jsoncountries_lb.js		{ "info": [{"company":"MEDEVCO Middle East Development Co. SAL", "address":"PO Box 67<br>9999999 Jounieh<br>Phone +961 9 233550<br>Fax +961 9 233553","email":"info@medevco-lebanon.com", "link":"", "flag":"lb"}]}
Liechtenstein	li	https://www.ifm.com/web/read_jsoncountries_li.js		{ "info": [{"company":"ifm electronic ag", "address":"Altgraben 27<br>4624 HÃ¤rkingen<br>Phone 0800 88 80 33<br>Fax 0800 88 80 39","email":"info.ch@ifm.com", "link":"www.ifm.com/ch", "flag":"LI"}]}
